WORDS,FREQ
jayanth,2
kumar,1
607,1
766,1
8187,1
kjayanth2704,1
gmail,1
com,3
http,2
github,2
jayanth717,1
www,1
linkedin,1
kumar2704,1
summary,1
passionate,1
data,10
scientist,3
strong,1
focus,1
user,3
behavior,1
experience,4
engagement,2
skilled,1
design,2
driven,2
experiment,1
analyze,1
complex,1
datasets,2
uncover,1
actionable,1
insight,2
leverage,1
solid,1
foundation,1
statistic,1
science,5
drive,1
product,1
improvement,2
support,2
measurable,1
business,3
growth,1
education,1
binghamton,1
university,4
state,1
new,2
york,1
thomas,1
j,1
watson,1
college,1
engineering,5
applied,1
master,1
computer,1
artificial,2
intelligence,2
track,1
expected,1
may,2
2027,1
cumulative,1
gpa,1
present,1
relevant,2
coursework,2
machine,2
learning,4
ucsi,2
kuala,2
lumpur,2
malayasia,2
bachelor,1
honor,1
mechatronic,1
january,3
2023,4
compute,1
engineer,1
software,2
application,2
robotic,1
system,6
technical,1
skill,3
languages,1
c,1
python,5
sql,1
r,1
javascript,2
jupyter,1
notebook,1
v,1
code,1
mysql,1
workbench,1
power,2
bi,1
tableau,1
additional,1
flask,2
aws,1
certification,2
vit,1
bangalore,3
ai,3
professional,1
siemens,1
india,2
july,1
2024,5
built,2
production,1
ready,1
ml,3
model,8
large,1
scale,1
optimize,1
marketing,2
performance,5
use,3
advanced,1
statistical,1
technique,1
developed,1
scalable,1
pipeline,2
integration,1
workflow,1
collaboration,1
operation,1
team,7
create,1
engineered,2
feature,2
set,1
build,2
classification,3
regression,1
clustering,1
library,1
automl,1
tool,1
framework,1
reliable,1
ingestion,1
processing,1
deployment,1
partner,1
analyst,1
extract,2
deliver,1
value,1
identify,1
recommend,1
approach,1
improve,4
project,5
audio,2
speech,4
sign,3
language,3
converter,1
hackathon,1
2025,2
march,1
technology,3
transformer,1
llm,5
tokenizer,1
trained,2
fine,1
tune,1
translate,1
text,4
structured,2
representation,1
perform,1
dataset,2
preprocessing,1
tokenization,1
embed,1
optimization,1
translation,1
accuracy,1
stability,1
implement,2
training,1
experimentation,1
hyperparameter,1
tuning,1
evaluation,2
enhanced,1
refine,1
context,1
understanding,1
sequence,1
generation,2
accurate,1
mapping,1
collaborate,1
teammate,1
integrate,2
gesture,1
module,2
enable,3
end,2
functionality,1
automate,2
interviewing,1
capstone,1
october,3
december,1
nlp,1
html,1
cs,1
designed,1
develop,2
automated,1
mock,1
interview,3
platform,1
real,2
time,2
interactive,2
simulation,1
response,1
score,1
candidate,2
answer,1
base,3
relevance,1
clarity,1
sentiment,1
domain,1
knowledge,1
analytics,1
include,1
gap,1
detection,2
topic,1
wise,1
scoring,1
recommendation,1
web,2
ui,1
seamless,1
flow,1
authentication,1
result,1
visualization,1
skin,3
lesion,4
independent,1
august,1
tensorflow,1
kera,1
cnn,2
transfer,1
gradio,2
opencv,1
deep,1
pre,1
train,2
network,1
custom,1
lightweight,1
architecture,1
ham1000,1
dermatology,1
classify,1
seven,1
category,1
bulit,1
upload,1
image,1
receive,1
prediction,1
assist,1
dermatologist,1
early,1
reduce,1
clinical,1
workload,1
screening,1
leadership,1
chess,2
club,1
group,3
leader,1
september,1
2019,1
2022,1
led,1
student,1
organize,1
weekly,1
session,1
tournament,1
strategy,1
workshop,1
mentored,1
junior,1
member,1
teach,1
gameplay,1
tactic,1
analytical,1
thinking,1
encouraging,1
participation,1
coordinate,1
event,1
foster,1
collaborative,1
environment,2
strengthen,1
problem,2
solving,2
scania,1
pvt,1
ltd,1
lead,1
intern,2
april,1
manage,1
delegate,1
task,1
ensure,1
timely,1
delivery,1
corporate,1
facilitate,1
communication,1
progress,1
tracking,1
keep,1
align,1
goal,1
provide,1
guidance,1
mentorship,1
feedback,1
contribute,1
productivity,1
cohesion,1
